[0.072,0.05 ,0.458,0.068,0.016,0.022,0.034,0.066,0.006,0.022,0.042,0.076,0.014,0.002,0.036,0.016]
[0.076,0.038,0.512,0.082,0.01 ,0.012,0.022,0.07 ,0.008,0.018,0.042,0.044,0.004,0.016,0.022,0.024]
[0.06,0.02,0.62,0.07,0.01,0.00,0.02,0.09,0.00,0.  ,0.03,0.03,0.  ,0.00,0.02,0.00]
[0.086,0.018,0.606,0.046,0.002,0.01 ,0.024,0.082,0.002,0.008,0.034,0.052,0.   ,0.004,0.016,0.01] 
[0.046,0.038,0.616,0.112,0.02 ,0.002,0.028,0.052,0.004,0.004,0.028,0.034,0.002,0.002,0.01 ,0.002]
[0.048,0.082,0.602,0.11 ,0.028,0.002,0.026,0.028,0.008,0.006,0.024,0.016,0.002,0.   ,0.016,0.002]
[0.068,0.072,0.54 ,0.112,0.028,0.01 ,0.014,0.058,0.024,0.008,0.022,0.026,0.002,0.   ,0.014,0.002]
[0.07 ,0.084,0.502,0.104,0.054,0.02 ,0.024,0.044,0.014,0.   ,0.028,0.028,0.004,0.002,0.022,0.   ]
[0.048,0.096,0.452,0.132,0.052,0.012,0.02 ,0.044,0.032,0.002,0.064,0.02 ,0.002,0.004,0.012,0.008]
[0.072,0.092,0.45 ,0.104,0.086,0.016,0.022,0.028,0.028,0.   ,0.058,0.018,0.004,0.002,0.02 ,0.   ]
[0.096,0.128,0.414,0.064,0.092,0.016,0.014,0.05 ,0.022,0.006,0.046,0.022,0.006,0.002,0.016,0.006]
[0.072,0.166,0.356,0.08 ,0.11 ,0.018,0.016,0.02 ,0.072,0.004,0.044,0.024,0.004,0.004,0.01 ,0.   ]
[0.068,0.162,0.328,0.092,0.13 ,0.008,0.008,0.016,0.09 ,0.01 ,0.046,0.006,0.006,0.002,0.028,0.   ]
[0.062,0.182,0.312,0.084,0.148,0.002,0.012,0.03 ,0.076,0.002,0.048,0.016,0.004,0.002,0.018,0.002]
[0.094,0.126,0.314,0.072,0.148,0.016,0.022,0.046,0.066,0.002,0.044,0.018,0.004,0.004,0.024,0.   ]
[0.08 ,0.112,0.29 ,0.096,0.17 ,0.016,0.018,0.034,0.078,0.008,0.054,0.01 ,0.014,0.004,0.014,0.002]
[0.076,0.124,0.31 ,0.054,0.164,0.012,0.014,0.012,0.098,0.01 ,0.072,0.016,0.008,0.012,0.016,0.002]
[0.094,0.13 ,0.3  ,0.07 ,0.146,0.022,0.022,0.026,0.08 ,0.006,0.066,0.01 ,0.004,0.   ,0.022,0.002]
[0.092,0.116,0.302,0.074,0.166,0.018,0.01 ,0.034,0.082,0.008,0.054,0.014,0.004,0.006,0.02 ,0.   ]
[0.11 ,0.118,0.296,0.082,0.148,0.008,0.018,0.036,0.078,0.006,0.052,0.018,0.006,0.002,0.022,0.   ]
[0.078,0.134,0.35 ,0.084,0.136,0.014,0.022,0.034,0.06 ,0.006,0.052,0.006,0.006,0.006,0.008,0.004]
[0.078,0.14 ,0.34 ,0.072,0.148,0.02 ,0.012,0.032,0.068,0.006,0.044,0.018,0.004,0.006,0.012,0.   ]
[0.054,0.13 ,0.356,0.104,0.108,0.016,0.028,0.032,0.052,0.01 ,0.048,0.03 ,0.004,0.004,0.02 ,0.004]
[0.064,0.122,0.358,0.096,0.116,0.018,0.016,0.032,0.056,0.008,0.056,0.02 ,0.018,0.002,0.012,0.006]
[0.09 ,0.092,0.408,0.096,0.108,0.014,0.024,0.022,0.04 ,0.01 ,0.046,0.018,0.012,0.008,0.008,0.004]
[0.09 ,0.132,0.352,0.09 ,0.108,0.01 ,0.018,0.032,0.036,0.012,0.064,0.02 ,0.012,0.006,0.016,0.002]
[0.102,0.102,0.36 ,0.098,0.102,0.02 ,0.02 ,0.036,0.052,0.004,0.056,0.028,0.   ,0.008,0.008,0.004]
[0.066,0.116,0.388,0.104,0.108,0.02 ,0.024,0.02 ,0.054,0.01 ,0.05 ,0.016,0.002,0.   ,0.016,0.006]
[0.072,0.11 ,0.436,0.09 ,0.078,0.012,0.008,0.038,0.038,0.012,0.054,0.022,0.002,0.004,0.02 ,0.004]
[0.1  ,0.106,0.416,0.112,0.076,0.01 ,0.03 ,0.024,0.028,0.01 ,0.028,0.026,0.008,0.006,0.02 ,0.   ]
[0.09 ,0.11 ,0.406,0.1  ,0.068,0.016,0.018,0.026,0.058,0.014,0.05 ,0.022,0.006,0.   ,0.016,0.   ]
